Property address,CS - NOI,CS - PV size (kW),Building type,Utility,Gross roof area (ft²),Owner name
"2700 Regional Rd, Dighton, MA 02764","$182,549","1,825",Office,National Grid - Massachusetts,"243,399",Town of Seekonk
"1088 Corregidor Rd, Dixon, IL 61021","$140,969","5,639","Industrial, Manufacturing",Commonwealth Edison Co,"469,895","Allied-Locke Industries, Incorporated"
"147 N Main St, Deerfield, MA 01373","$193,246","3,332","Industrial, Manufacturing",Eversource Energy (Formerly Western Massachusetts Elec Co),"277,652",Pelican
"60 Williams St, Taunton, MA 02780","$185,881","1,859",Office,National Grid - Massachusetts,"247,841",City of Taunton
"815 Bluff Rd, Romeoville, IL 60446","$148,723","5,949","Industrial, Manufacturing",Commonwealth Edison Co,"495,742",Suzanne Casagrande
"1330 Campus Pkwy, Wall Township, NJ 07753","$149,091","3,106","Industrial, Manufacturing",Jersey Central Power & Lt Co,"258,838","1330 Campus Parkway, LLC"
"2200 Tanger Blvd, Washington, PA 15301",—,—,"Retail, Strip Mall",West Penn Power Co,"473,197",Tanger
"1000 Prince Georges Blvd, Upper Marlboro, MD 20774","$198,447","2,918","Industrial, Warehouse",Baltimore Gas & Electric Co,"243,195","AMAZON FULFILLMENT SERVICES, INC."
"135 National Rd, Edison, NJ 08817","$329,786","3,365","Industrial, Manufacturing",Public Service Elec & Gas Co,"280,430",Silgan
"1201 Wicomico St, Baltimore, MD 21230","$133,208","1,959","Industrial, Manufacturing",Baltimore Gas & Electric Co,"163,245","Ddc Development, LLC"
"10 Main St, Tewksbury, MA 01876","$220,298","2,203","Retail, Strip Mall",National Grid - Massachusetts,"293,730",Valley Properties Inc
"112 Port Jersey Blvd, Jersey City, NJ 07305","$283,456","2,892","Industrial, Manufacturing",Public Service Elec & Gas Co,"241,034",Db USA Corporation
"26 N Front St, New Bedford, MA 02740","$220,682","2,829","Industrial, Manufacturing",Eversource Energy (Formerly NSTAR Electric Company),"235,771","SHORELINE RESOURCES, LLC"
"34 Engelhard Ave, Woodbridge Township, NJ 07001","$286,903","2,928","Industrial, Manufacturing",Public Service Elec & Gas Co,"243,965",Ngbw LLC
"8010 Quarry Rd, Alburtis, PA 18011","$167,177","8,359","Industrial, Warehouse",PPL Electric Utilities Corp,"696,571",Lower Macungie Township
"11 Applegate Dr, Robbinsville Township, NJ 08691","$146,585","3,054","Industrial, Manufacturing",Jersey Central Power & Lt Co,"254,488",Ares
